,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,full_name,matches,name,link,season,fuzz_ratio
177,9,Ndidi,236,,50,2671,Leicester,Wilfred,Ndidi,WilfredNdidi,Wilfred_Ndidi_227,Wilfred_Ndidi_227,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Wilfred_Ndidi_227,2018-19,92
178,9,Benkovic,237,,45,0,Leicester,Filip,Benkovic,FilipBenkovic,Filip_Benkovic_501,Filip_Benkovic_501,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Filip_Benkovic_501,2018-19,92
179,9,Söyüncü,238,,55,3036,Leicester,Çaglar,Söyüncü,ÇaglarSöyüncü,Çaglar_Söyüncü_515,Çaglar_Söyüncü_515,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/%C3%87aglar_S%C3%B6y%C3%BCnc%C3%BC_515,2018-19,92
181,10,Douglas,196,,40,0,Leeds,Barry,Douglas,BarryDouglas,Barry_Douglas_424,Barry_Douglas_424,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Barry_Douglas_424,2018-19,92
191,11,Milner,241,,55,924,Liverpool,James,Milner,JamesMilner,James_Milner_254,James_Milner_254,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/James_Milner_254,2018-19,91
193,11,Wijnaldum,243,,55,2933,Liverpool,Georginio,Wijnaldum,GeorginioWijnaldum,Georginio_Wijnaldum_252,Georginio_Wijnaldum_252,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Georginio_Wijnaldum_252,2018-19,94
194,11,Henderson,244,,55,2234,Liverpool,Jordan,Henderson,JordanHenderson,Jordan_Henderson_249,Jordan_Henderson_249,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jordan_Henderson_249,2018-19,93
195,11,Adrián,245,,45,873,Liverpool,Adrián,San Miguel del Castillo,AdriánSan Miguel del Castillo,Adrián_San Miguel del Castillo_399,Adrián_San Miguel del Castillo_399,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Adri%C3%A1n_San%20Miguel%20del%20Castillo_399,2018-19,97
196,11,Matip,246,,55,703,Liverpool,Joel,Matip,JoelMatip,Joel_Matip_243,Joel_Matip_243,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Joel_Matip_243,2018-19,89
197,11,Shaqiri,247,,65,181,Liverpool,Xherdan,Shaqiri,XherdanShaqiri,Xherdan_Shaqiri_462,Xherdan_Shaqiri_462,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Xherdan_Shaqiri_462,2018-19,93
198,11,Chamberlain,248,50.0,65,1475,Liverpool,Alex,Oxlade-Chamberlain,AlexOxlade-Chamberlain,Alex_Oxlade-Chamberlain_248,Alex_Oxlade-Chamberlain_248,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Alex_Oxlade-Chamberlain_248,2018-19,95
199,11,Firmino,249,,95,2985,Liverpool,Roberto,Firmino,RobertoFirmino,Roberto_Firmino_257,Roberto_Firmino_257,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Roberto_Firmino_257,2018-19,93
200,11,van Dijk,250,,65,3420,Liverpool,Virgil,van Dijk,Virgilvan Dijk,Virgil_van Dijk_246,Virgil_van Dijk_246,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Virgil_van%20Dijk_246,2018-19,93
201,11,Mané,251,,120,2745,Liverpool,Sadio,Mané,SadioMané,Sadio_Mané_251,Sadio_Mané_251,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Sadio_Man%C3%A9_251,2018-19,89
202,11,Alisson,252,,60,2543,Liverpool,Alisson,Ramses Becker,AlissonRamses Becker,Alisson_Ramses Becker_468,Alisson_Ramses Becker_468,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Alisson_Ramses%20Becker_468,2018-19,95
203,11,Fabinho,253,,55,2073,Liverpool,Fabio Henrique,Tavares,Fabio HenriqueTavares,Fabio Henrique_Tavares_255,Fabio Henrique_Tavares_255,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Fabio%20Henrique_Tavares_255,2018-19,95
204,11,Salah,254,,120,2879,Liverpool,Mohamed,Salah,MohamedSalah,Mohamed_Salah_253,Mohamed_Salah_253,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Mohamed_Salah_253,2018-19,92
205,11,Robertson,255,,70,3111,Liverpool,Andrew,Robertson,AndrewRobertson,Andrew_Robertson_247,Andrew_Robertson_247,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Andrew_Robertson_247,2018-19,93
206,11,Origi,256,,55,699,Liverpool,Divock,Origi,DivockOrigi,Divock_Origi_543,Divock_Origi_543,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Divock_Origi_543,2018-19,91
208,11,Alexander-Arnold,259,,75,3173,Liverpool,Trent,Alexander-Arnold,TrentAlexander-Arnold,Trent_Alexander-Arnold_245,Trent_Alexander-Arnold_245,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Trent_Alexander-Arnold_245,2018-19,95
209,11,Gomez,260,,55,1999,Liverpool,Joseph,Gomez,JosephGomez,Joseph_Gomez_242,Joseph_Gomez_242,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Joseph_Gomez_242,2018-19,91
210,11,Keita,261,,55,806,Liverpool,Naby,Keita,NabyKeita,Naby_Keita_256,Naby_Keita_256,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Naby_Keita_256,2018-19,89
